title,author,rank,description,publisher,amazon_product_url
SAIL,James Patterson and Howard Roughan,3,A sailing vacation turns into a disaster when someone attempts to destroy a family.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
TAILSPIN,Catherine Coulter,4,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,Putnam,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,5,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
THE HOST,Stephenie Meyer,6,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
CHASING DARKNESS,Robert Crais,7,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,Simon & Schuster,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20
ROGUE,Danielle Steel,8,A divorced doctor about to remarry faces a quandary when her ex-husband asks her to work with him on a humanitarian project.,Delacorte,http://www.amazon.com/Rogue-Danielle-Steel/dp/0440243297?tag=NYTBS-20
DEATH ANGEL,Linda Howard,9,A crime lord’s former mistress cooperates with the F.B.I.,Ballantine,http://www.amazon.com/Death-Angel-Novel-Linda-Howard/dp/0345486552?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,10,A woman’s life changes when she rents out rooms in her Nantucket house.,Viking,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,11,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
THE LAST ORACLE,James Rollins,12,Sigma Force operatives battle a group of rogue scientists.,Morrow,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,13,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
THE BROKEN WINDOW,Jeffery Deaver,14,Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.,Simon & Schuster,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20
NOTHING TO LOSE,Lee Child,15,Jack Reacher exposes the secrets of a Colorado town.,Delacorte,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20
AMERICA AMERICA,Ethan Canin,16,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,Random House,http://www.amazon.com/America-A-Novel-Ethan-Canin/dp/0679456805?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,17,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
PLAGUE SHIP,Clive Cussler with Jack Du Brul,18,Juan Cabrillo and the crew of the Ore­gon must determine what happened on a cruise ship full of dead bodies.,Putnam,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20
A SUMMER AFFAIR,Elin Hilderbrand,19,A successful married artist is attracted to a billionaire on Nantucket.,Little Brown & Company,http://www.amazon.com/A-Summer-Affair-Novel/dp/B003P2VBNU?tag=NYTBS-20
ODD HOURS,Dean R Koontz,20,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
TRIBUTE,Nora Roberts,1,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",Putnam,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,2,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
THE LAST PATRIOT,Brad Thor,3,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",Atria,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,4,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
SWAN PEAK,James Lee Burke,5,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,Simon & Schuster,http://www.amazon.com/Swan-Peak-Dave-Robicheaux-No/dp/1416548548?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,6,A sailing vacation turns into a disaster.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
THE HOST,Stephenie Meyer,7,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
TAILSPIN,Catherine Coulter,8,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,Putnam,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,9,A woman’s life changes when she rents out rooms in her Nantucket house.,Viking,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,10,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
CHASING DARKNESS,Robert Crais,11,Is the Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,Simon & Schuster,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,12,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
ROGUE,Danielle Steel,13,A divorced doctor about to remarry faces a quandary when her ex-husband asks her to work with him on a humanitarian project.,Delacorte,http://www.amazon.com/Rogue-Danielle-Steel/dp/0440243297?tag=NYTBS-20
DEATH ANGEL,Linda Howard,14,A crime lord’s former mistress cooperates with the F.B.I.,Ballantine,http://www.amazon.com/Death-Angel-Novel-Linda-Howard/dp/0345486552?tag=NYTBS-20
SILENT THUNDER,Iris Johansen and Roy Johansen,15,A decommissioned Soviet submarine holds a deadly secret.,St. Martin’s,http://www.amazon.com/Silent-Thunder-Iris-Johansen/dp/0312368003?tag=NYTBS-20
THE LAST ORACLE,James Rollins,16,Sigma Force operatives battle a group of rogue scientists.,Morrow,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,17,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
A SUMMER AFFAIR,Elin Hilderbrand,18,A successful married artist is attracted to a billionaire on Nantucket.,Little Brown & Company,http://www.amazon.com/A-Summer-Affair-Novel/dp/B003P2VBNU?tag=NYTBS-20
AMERICA AMERICA,Ethan Canin,19,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,Random House,http://www.amazon.com/America-A-Novel-Ethan-Canin/dp/0679456805?tag=NYTBS-20
THE BROKEN WINDOW,Jeffery Deaver,20,Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.,Simon & Schuster,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20
TRIBUTE,Nora Roberts,1,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",Putnam,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,2,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
RULES OF DECEPTION,Christopher Reich,3,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,Doubleday,http://www.amazon.com/Rules-Deception-Christopher-Reich/dp/0307387828?tag=NYTBS-20
THE HOST,Stephenie Meyer,4,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
THE LAST PATRIOT,Brad Thor,5,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",Atria,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,6,A sailing vacation turns into a disaster when someone attempts to destroy a family.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,7,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
JUST TOO GOOD TO BE TRUE,E Lynn Harris,8,"Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.",Double­day,http://www.amazon.com/Just-Too-Good-Be-True/dp/0385492723?tag=NYTBS-20
SWAN PEAK,James Lee Burke,9,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,Simon & Schuster,http://www.amazon.com/Swan-Peak-Dave-Robicheaux-No/dp/1416548548?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,10,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
TAILSPIN,Catherine Coulter,11,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,Putnam,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20
SAY GOODBYE,Lisa Gardner,12,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,Bantam,http://www.amazon.com/Say-Goodbye-FBI-Profiler-Novel/dp/0553588095?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,13,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,14,A woman’s life changes when she rents out rooms in her Nantucket house.,Viking,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
KILLER VIEW,Ridley Pearson,15,"A sheriff in Sun Valley, Idaho, investigates a series of crimes against a backdrop of conflict between wealthy vacationers and locals.",Putnam,http://www.amazon.com/Killer-View-Fleming-Ridley-Pearson/dp/0515146498?tag=NYTBS-20
CHASING DARKNESS,Robert Crais,16,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,Simon & Schuster,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,17,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
A THOUSAND SPLENDID SUNS,Khaled Hosseini,18,A friendship between two Afghan women — born a generation apart and with very different ideas about love and family — against the backdrop of 30 years of war.,Riverhead,http://www.amazon.com/Thousand-Splendid-Suns-Khaled-Hosseini/dp/159448385X?tag=NYTBS-20
THE LAST ORACLE,James Rollins,19,Sigma Force operatives battle a group of rogue scientists.,Morrow,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20
THE ENCHANTRESS OF FLORENCE,Salman Rushdie,20,,Random House,http://www.amazon.com/The-Enchantress-Florence-A-Novel/dp/0679640517?tag=NYTBS-20
THE SECRET SERVANT,Daniel Silva,1,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",Putnam,http://www.amazon.com/Secret-Servant-Gabriel-Allon-Novels/dp/0451224507?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,2,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
THE HOST,Stephenie Meyer,3,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
TRIBUTE,Nora Roberts,4,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",Putnam,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20
THE LAST PATRIOT,Brad Thor,5,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",Atria,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,6,A sailing vacation turns into a disaster.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
INTO THE FIRE,Suzanne Brockmann,7,A former employee of an elite security company comes out of hiding to confront a murderous neo-Nazi group.,Ballantine,http://www.amazon.com/Into-Fire-Troubleshooters-Book-13/dp/0345501535?tag=NYTBS-20
DAMAGE CONTROL,J A Jance,8,An elderly couple’s suicide-by-accident in the mountains is not what it appears; the 13th Joanna Brady mystery.,Morrow,http://www.amazon.com/Damage-Control-Joanna-Brady-Mysteries/dp/0060746769?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,9,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,10,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
RULES OF DECEPTION,Christopher Reich,11,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,Doubleday,http://www.amazon.com/Rules-Deception-Christopher-Reich/dp/0307387828?tag=NYTBS-20
SWAN PEAK,James Lee Burke,12,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,Simon & Schuster,http://www.amazon.com/Swan-Peak-Dave-Robicheaux-No/dp/1416548548?tag=NYTBS-20
JUST TOO GOOD TO BE TRUE,E Lynn Harris,13,"Secrets threaten the relationship between a mother and her son, a college football player.",Double­day,http://www.amazon.com/Just-Too-Good-Be-True/dp/0385492723?tag=NYTBS-20
SAY GOODBYE,Lisa Gardner,14,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,Bantam,http://www.amazon.com/Say-Goodbye-FBI-Profiler-Novel/dp/0553588095?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,15,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,16,A woman rents out rooms in her Nantucket house.,Viking,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
TAILSPIN,Catherine Coulter,17,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,Putnam,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20
BY SCHISM RENT ASUNDER,David Weber,18,,Tor,http://www.amazon.com/Schism-Rent-Asunder-David-Weber/dp/0765315017?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,19,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
CHASING DARKNESS,Robert Crais,20,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,Simon & Schuster,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20
THE SECRET SERVANT,Daniel Silva,1,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",Putnam,http://www.amazon.com/Secret-Servant-Gabriel-Allon-Novels/dp/0451224507?tag=NYTBS-20
THE BOURNE SANCTION,Eric Van Lustbader,2,Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist group.,Grand Central,http://www.amazon.com/Bourne-Sanction-Eric-Van-Lustbader/dp/B002GPYJ8Q?tag=NYTBS-20
THE HOST,Stephenie Meyer,3,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,4,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,5,"After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.",Dial,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20
TRIBUTE,Nora Roberts,6,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",Putnam,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20
THE LACE READER,Brunonia Barry,7,Secrets of a family of Salem women who foresee the future.,Morrow,http://www.amazon.com/The-Lace-Reader-A-Novel/dp/0061624772?tag=NYTBS-20
THE LAST PATRIOT,Brad Thor,8,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",Atria,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,9,A sailing vacation turns into a disaster.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
